index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
277,3,2,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.73
278,3,3,0.826,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.824
279,3,4,0.66,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.797
280,3,5,0.568,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.776
281,3,6,0.5,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.772
282,3,7,0.457,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.772
283,3,8,0.468,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.785
284,3,9,0.436,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.764
285,3,10,0.394,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.766
286,4,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.66
287,4,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.728
288,4,2,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.736
289,4,3,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.768
290,4,4,0.853,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.849
291,4,5,0.718,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.823
292,4,6,0.641,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.808
293,4,7,0.547,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.79
294,4,8,0.543,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.795
295,4,9,0.366,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.789
296,4,10,0.279,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.78
297,5,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.655
298,5,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.694
299,5,2,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.724
300,5,3,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.704
301,5,4,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.734
302,5,5,0.833,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.832
303,5,6,0.692,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.803
304,5,7,0.462,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.791
305,5,8,0.348,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.774
306,5,9,0.216,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.773
